index,label,train_count,val_count,development_count
0,0_ก,4797,1192,5989
1,10_ฎ,4802,1196,5998
2,11_ฐ,4801,1197,5998
3,12_ฑ,4800,1198,5998
4,13_ฒ,4801,1199,6000
5,14_ณ,4801,1198,5999
6,15_ด,4801,1197,5998
7,16_ต,4801,1199,6000
8,17_ถ,4800,1197,5997
9,18_ท,4802,1197,5999
10,19_ธ,4801,1196,5997
11,1_ข,4799,1196,5995
12,20_น,4800,1198,5998
13,21_บ,4799,1197,5996
14,22_ป,4800,1193,5993
15,23_ผ,4802,1198,6000
16,24_ฝ,4801,1197,5998
17,25_พ,4799,1199,5998
18,26_ฟ,4798,1197,5995
19,27_ภ,4801,1198,5999
20,28_ม,4801,1198,5999
21,29_ย,4802,1198,6000
22,2_ฃ,4800,1198,5998
23,30_ร,4801,1196,5997
24,31_ฤ,4799,1199,5998
25,32_ล,4799,1197,5996
26,33_ว,4802,1196,5998
27,34_ศ,4801,1196,5997
28,35_ษ,4799,1198,5997
29,36_ส,4800,1197,5997
30,37_ห,4798,1199,5997
31,38_ฬ,4798,1198,5996
32,39_อ,4798,1197,5995
33,3_ค,4801,1199,6000
34,40_ฮ,4802,1198,6000
35,41_ฯ,4802,1196,5998
36,42_ั,4799,1192,5991
37,43_า,4796,1185,5981
38,44_ิ,4795,1193,5988
39,45_ี,4800,1193,5993
40,46_ึ,4800,1200,6000
41,47_ื,4798,1194,5992
42,48_ุ,4796,1192,5988
43,49_ู,4798,1194,5992
44,4_ง,4799,1196,5995
45,50_เ,4797,1195,5992
46,51_แ,4797,1197,5994
47,52_โ,4799,1193,5992
48,53_ใ,4794,1192,5986
49,54_ไ,4800,1193,5993
50,55_ๅ,4804,1184,5988
51,56_ๆ,4800,1195,5995
52,57_็,4801,1197,5998
53,58_่,4786,1174,5960
54,59_้,4801,1193,5994
55,5_จ,4798,1196,5994
56,60_๊,4799,1194,5993
57,61_์,4801,1194,5995
58,62_๐,4802,1195,5997
59,63_๑,4800,1199,5999
60,64_๒,4799,1199,5998
61,65_๓,4798,1198,5996
62,66_๔,4801,1196,5997
63,67_๕,4801,1198,5999
64,68_๖,4800,1195,5995
65,69_๗,4800,1199,5999
66,6_ฉ,4800,1199,5999
67,70_๘,4800,1198,5998
68,71_๙,4799,1197,5996
69,7_ช,4801,1197,5998
70,8_ซ,4801,1198,5999
71,9_ญ,4800,1200,6000
